fips5,ACCESS2_AdjPrev,ARTHRITIS_AdjPrev,BINGE_AdjPrev,BPMED_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CHECKUP_AdjPrev,CHOLSCREEN_AdjPrev,COLON_SCREEN_AdjPrev,CSMOKING_AdjPrev,DENTAL_AdjPrev,DEPRESSION_AdjPrev,Ed0,Ed1,Ed11,Ed12,Ed13,Ed14,Ed15,Ed2,Ed3,Ed4,Ed5,Ed6,Ed7,Ed8,Ed9,F_CROWD,F_GROUPQ,F_HBURD,F_LIMENG,F_MINRTY,F_MOBILE,F_MUNIT,F_NOVEH,F_SNGPNT,F_UNEMP,F_UNINSUR,HEARING_AdjPrev,HIGHCHOL_AdjPrev,LPA_AdjPrev,M,MAMMOUSE_AdjPrev,OBESITY_AdjPrev,SLEEP_AdjPrev,TEETHLOST_AdjPrev,age0,age1,age2,age3,age5,age6,age7,age8,density,income_0,income_1,income_11,income_12,income_13,income_14,income_15,income_2,income_3,income_4,income_5,income_6,income_7,income_8,income_9,race_asian,race_black,race_indian,race_pacific,total_population_county
01001,9.1,26.3,15.6,61.7,7.0,10.0,79.4,85.0,64.6,14.5,61.9,25.9,0.0122743001660086,0.0025519746670078,0.0712361309140637,0.142726955609369,0.0845450563218216,0.0129869648707671,0.0066231454721662,0.0065901032827864,0.0141896168649652,0.0227695597839771,0.0222307099651103,0.0277815936320997,0.016733170350515,0.3409316256022017,0.0724598750101686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,36.3,26.0,0.4882377518211048,80.7,39.5,37.7,12.0,0.1269959490635615,0.1624189358571454,0.1109556940180566,0.1308833947937291,0.1383858017402677,0.0978037748187977,0.0633435666406292,0.0302094497629384,92.68,0.0379371798724245,0.0333302697692378,0.1632914326763917,0.1321700661658919,0.0657785916240686,0.0471037399234622,0.0290161411108159,0.0274739812998732,0.0386846299220707,0.0389675739031374,0.0530483358863411,0.050101639208387,0.0440284819866026,0.0366801246019987,0.087936059019805,0.00837898702967,0.1905568416276861,0.0042982131550881,0.0005877854606543,55049
01003,8.8,26.3,17.1,59.1,7.6,9.4,77.5,84.9,62.9,13.3,62.4,23.9,0.0076364098318001,0.0028227436710555,0.0952027747241557,0.191665427577768,0.0709125124669691,0.0209272843891344,0.0089798626588637,0.006217892839886,0.0123381687009564,0.0160519338584422,0.0221293916169326,0.0199768505208711,0.0143449089780367,0.2882464506258053,0.0608890850987305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.1,35.4,23.7,0.4880507242744724,74.1,35.0,36.4,11.4,0.1200190466643275,0.1342589343892536,0.1004661420480176,0.1163199839607036,0.1388551952283093,0.1359931832990827,0.079760413011879,0.0428148964964161,125.56,0.0403841228614067,0.030740337857195,0.1483138822085667,0.0938990140100972,0.0662800054382957,0.0524128639997531,0.056720672673,0.0348025847321366,0.0409989794540954,0.0432543350560975,0.0439836777386228,0.0498938567028631,0.0527474720222645,0.0353226302573994,0.107070701650074,0.0070247376297297,0.0955854837377626,0.0069920431650084,0.0,199510
01005,14.8,28.9,14.0,63.9,6.1,10.9,79.3,81.7,56.6,20.8,45.3,22.9,0.0182456628103503,0.013501989285187,0.0837169457410211,0.0770077514700874,0.0419733177744765,0.0064501401090978,0.0042646989943908,0.014511847132114,0.0367757887992671,0.034258991137717,0.052201231692978,0.0556305471409216,0.034555755591879,0.3485265669892056,0.0637918641126115,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,36.5,34.5,0.5350191628466221,74.8,47.1,44.6,27.7,0.119673855865334,0.1333884421732922,0.1235815736078755,0.1391748703689787,0.1360186368076952,0.1156158412865408,0.073795746599534,0.0367851506725783,30.11,0.1007146200575802,0.0571381882873947,0.1320371484757901,0.0679984935036641,0.0325581827351235,0.0166897812125178,0.005778449374809,0.045001490120323,0.0665475010678996,0.0687661761676814,0.0590677060739713,0.0586333120734585,0.0674727824884906,0.0438951601488819,0.074382584265744,0.0053701244760904,0.4986031635892706,0.0017433932853815,0.0,26614
01007,13.0,28.2,15.3,61.6,6.9,10.4,77.3,81.5,58.9,19.9,50.2,25.0,0.0147047464330517,0.0034602710909237,0.05896103652681,0.0606388086934783,0.050936589969718,0.0034237744293183,0.0060989281576682,0.006697967587302,0.0314264030832734,0.0395585059749276,0.0358339393109181,0.0389614080906661,0.0165807605799673,0.4189940105196841,0.0454151132145555,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.4,36.7,31.9,0.5353535353535354,69.2,43.7,41.4,21.7,0.1034467481835902,0.1480595427963848,0.1217880559985822,0.1239145844409002,0.1404394825447456,0.1090288853446747,0.0671185539606592,0.0295498848130426,36.29,0.043550310722613,0.0302541286351719,0.1742478685971614,0.0558126687776492,0.0287421688078352,0.0289954925104761,0.0089055758455906,0.0489731548345685,0.0716197156517234,0.0425904370830788,0.0898864540888077,0.0574016597816824,0.0582230791089825,0.0334498866692523,0.1258689212276744,0.000660462067641,0.2146931285252074,0.0036090204010874,0.0,22572
01009,12.0,26.7,16.3,58.9,7.3,9.9,77.0,82.4,61.2,16.9,54.0,26.0,0.0178153487907694,0.0055621215069012,0.1157812436663547,0.0900569135340044,0.0316821403430773,0.0059239604347067,0.0033066349646025,0.0189443112139992,0.0276315087449538,0.0324264037998854,0.044367991820478,0.0297743069319549,0.0234271232830736,0.3292166828653315,0.0867326387737359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,35.7,27.7,0.4951476500762512,69.6,36.0,37.6,16.8,0.1263690558713433,0.1460037432413697,0.1000277277138499,0.1140995424927214,0.1328850686260917,0.1257625121308747,0.0743102731179813,0.0374150838763343,89.6,0.0527975626359169,0.0286151279924813,0.1298479944250512,0.0855454056981858,0.0386966500947333,0.0306726374459317,0.013804565880067,0.0325448142631052,0.0513160476916229,0.0631899278760501,0.0552586161120093,0.0489876996197466,0.0654009063325821,0.056283689811814,0.0839140316989737,0.0016531092556338,0.0165157168569026,0.0036438554112666,0.0,57704
01011,18.2,30.6,11.7,66.4,5.2,11.5,80.3,80.2,53.6,24.9,39.0,21.7,0.0137038981013213,0.0153163306815504,0.036594020279142,0.0478940462310459,0.0372861060589349,0.0105942058254125,0.0048718777948245,0.008446984045385,0.0381463306937769,0.026087249967141,0.0439454894402598,0.0897872225921765,0.0939326041506727,0.342515283502009,0.0276692439373588,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,8.3,37.1,42.7,0.5419825625473844,74.8,51.0,50.5,35.1,0.1231046247156936,0.1285064442759666,0.1277482941622441,0.1326762699014404,0.1269901440485215,0.1468915845337376,0.0510803639120545,0.0338324488248673,16.96,0.1571764968847655,0.0846426224143637,0.1021333900154448,0.0184737785147709,0.0221019798539885,0.0102441195597952,0.0200316377180519,0.024240001926427,0.0512577867320473,0.0577781058255382,0.0880539721612966,0.0228516170630926,0.0796837931617096,0.0413601032397987,0.1021121425780289,0.0079605761940864,0.7622947107151195,0.0079605761940864,0.0,10552
01013,11.8,28.7,13.4,64.7,6.2,11.1,80.1,83.2,59.4,19.0,49.0,23.8,0.0223077480622088,0.0058258464398971,0.0800654695397169,0.093950408435901,0.0476395982567295,0.0097449988184864,0.007232215497729,0.0142995708985001,0.0280202747180932,0.0279148489543685,0.0289380509286555,0.0411343162649484,0.0229006393874966,0.3990368378027822,0.0411211195314372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,36.0,35.1,0.4695266272189349,76.4,40.7,43.6,22.8,0.1259861932938855,0.1414694280078895,0.1031065088757396,0.1152366863905325,0.1350591715976331,0.1280571992110453,0.0746055226824457,0.0506903353057198,26.13,0.0784248632887788,0.0482679945817273,0.1137594727722244,0.0653744949007394,0.0276773116019034,0.0343184942263781,0.0084328312490784,0.1009519587617569,0.0815644378163642,0.0649219910140412,0.0575382539507145,0.0504503428914686,0.0560234943425525,0.0382707514534546,0.0744908381062518,0.0102011662986304,0.4440418044724661,0.0007428936071469,0.0,20280
01015,11.0,28.1,15.6,61.1,6.9,10.6,77.6,83.4,59.6,17.0,55.8,25.3,0.0118520394312231,0.0055543593660816,0.0731763711340095,0.1049585560988237,0.0524292750916201,0.0107803030095115,0.0088115748587496,0.0090437702041966,0.0277456031207251,0.0253155285806921,0.0384193626483323,0.0365608505151205,0.0199662621117958,0.319552811485742,0.0739007052411406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,35.4,31.0,0.4810017345679545,76.2,39.1,42.8,17.4,0.120634454905548,0.1440985855935933,0.1231111763132232,0.1215750912589856,0.1401893354274717,0.1209106050276581,0.0679070409651446,0.0373751930893431,191.54,0.0672935946792496,0.0538964542128647,0.1296514915474939,0.0787654832956561,0.043873924714942,0.0267885631496531,0.0189532964456542,0.0472886381465667,0.0475774884100823,0.0568171311838188,0.0554566267397222,0.0446074250827334,0.0669302231816781,0.046367138243095,0.098797024550569,0.0097521507757475,0.2138622716947535,0.0033612136106719,5.1778147895649474e-05,115879
01017,12.1,28.2,13.5,62.6,6.4,10.9,78.9,83.2,59.4,18.2,48.3,23.9,0.0171302459322343,0.0049279798047332,0.080287117067574,0.0873469759969277,0.0254105205181186,0.0081714824950068,0.0025149692150979,0.009375984994204,0.0223263497877951,0.0354880153675313,0.042552121815605,0.0382031563059697,0.0243253890227026,0.3987580426606237,0.0560428575259008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,34.8,32.5,0.4791286965724028,76.1,41.6,42.6,17.9,0.1167323181844905,0.1261097066259038,0.1158798283261802,0.1109706625903932,0.1523311188194484,0.1246398965253689,0.0741666176729966,0.0486507143277088,57.08,0.0742154339820355,0.0413261951355028,0.1533451810228286,0.0521126104527165,0.0270943483355305,0.0197112067339187,0.0167723921822008,0.0535832632718088,0.0629267305865279,0.0558250367019261,0.0688860823174774,0.0512254300321773,0.0611650482293955,0.0511668388527685,0.0843625245257975,0.009248434897674,0.4111421110123234,0.0023170161278983,0.0,34018
01019,10.8,27.6,16.5,59.8,7.5,10.3,76.3,82.2,62.8,18.1,56.7,27.1,0.0168583332142763,0.0025924171708993,0.083763092678367,0.0768916212488393,0.0416490873135452,0.0145621477559131,0.0057291519183232,0.0151774650451139,0.0239114833528241,0.0373696047043186,0.0408725890785717,0.0359322009391149,0.0147738855844416,0.356949018916494,0.06688799799814,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.2,36.8,28.8,0.4974707495076649,74.3,39.3,37.4,18.1,0.1031779742827354,0.1309031934200872,0.0930223578020619,0.1012086342047341,0.1592076302274394,0.1570452175927713,0.0882341583967254,0.0343669150866895,46.83,0.0463254264333075,0.0422422681832048,0.1148324904040938,0.0695364508540397,0.0441391852882027,0.0302574224243421,0.0154124225315469,0.0556853286856013,0.0530881086911864,0.0754489005784043,0.0661914906531974,0.0709781264931581,0.0472035632739447,0.0625770014267737,0.0962110510347608,0.0042230571734911,0.047007903290183,0.0058843977947128,0.0,25897
